,Profession,Income,Credit_card_number,Expiry,Security_code,Fraud
6545,ENGINEER,68842,213195909197627,07/28,48,1
3513,DOCTOR,25734,3552017447879198,12/31,822,1
1282,LAWYER,72096,4517089937741,09/25,210,0
4415,ENGINEER,58335,180060340751722,12/24,6998,0
3987,DOCTOR,43590,3597388339266696,11/32,272,0
2345,DOCTOR,94810,3514491315837777,04/32,862,0
7437,ENGINEER,81481,6011914143085203,01/32,334,0
6944,LAWYER,53366,375330820639043,07/33,642,0
9070,ENGINEER,62363,2491326228185329,08/30,915,1
9478,ENGINEER,65109,4579676459216,01/30,543,0
4898,ENGINEER,44392,3565542018722407,07/34,494,0
8277,ENGINEER,78944,6598409986619706,01/34,759,0
3389,LAWYER,54888,3505965465896114,05/33,670,1
8165,LAWYER,89275,2256020274499271,08/33,457,1
622,ENGINEER,8905,213169357886064,06/27,643,0
167,DOCTOR,83211,4618189817763754616,11/27,844,1
4428,DOCTOR,70124,4400875666011258694,09/26,599,1
7743,ENGINEER,31333,344161321626660,11/31,929,0
2856,ENGINEER,93118,342727656877615,02/26,440,1
1189,LAWYER,11012,6011228213233696,08/27,360,0
3105,ENGINEER,16945,30124299097917,06/32,876,1
318,DOCTOR,68484,4635385681455614,02/28,637,0
2757,DOCTOR,16386,4864400367713541,11/27,14,0
3986,ENGINEER,21999,4175379615680291063,04/25,162,0
1193,DOCTOR,71469,502032515616,01/28,35,1
450,ENGINEER,73073,2271061728969007,04/32,777,1
916,LAWYER,17970,4534867767583429,06/30,95,1
3303,LAWYER,79235,4880908161425617,03/33,25,0
7445,LAWYER,63415,3569664661359869,07/33,763,1
1507,ENGINEER,11961,4514002864435554,01/34,836,0
6236,LAWYER,55995,3599878083040741,10/28,618,0
9532,ENGINEER,32242,676234262076,11/28,685,0
3017,LAWYER,35938,180064045635594,05/33,888,0
6056,LAWYER,93334,38706226806832,05/28,992,0
820,LAWYER,13383,6011786375253778,07/31,260,0
1084,DOCTOR,30329,4135504815515,10/26,407,0
7839,LAWYER,50791,376184596706083,09/32,118,1
736,DOCTOR,28095,4090453554199121653,01/26,853,0
704,LAWYER,32046,3558776677885233,03/34,22,0
8739,ENGINEER,33273,213157320222509,11/25,410,0
2725,DOCTOR,42422,3590830724942982,01/34,840,1
3403,DOCTOR,78296,4283678608235985,12/32,635,0
6605,LAWYER,46070,4719190900679898,08/29,554,0
9956,ENGINEER,39245,3540263840184373,04/27,439,0
9964,DOCTOR,58092,4089855089823259,01/32,933,1
7104,DOCTOR,99425,6507796046500441,06/26,739,0
6996,ENGINEER,42768,4314708541516891628,01/32,932,0
1324,LAWYER,54710,4198589323700829,12/31,623,0
6790,DOCTOR,54527,503836538523,01/29,876,0
6572,ENGINEER,25278,4625691140206,12/24,821,0
7734,DOCTOR,61577,36283146933650,08/25,753,0
711,DOCTOR,54106,180091185920049,06/27,278,0
2251,DOCTOR,4652,3599656387038458,05/29,543,0
7040,ENGINEER,40116,30198546946704,12/28,426,0
9841,LAWYER,71765,4538141558762,11/27,626,0
5460,DOCTOR,59425,4391339128425072,08/29,938,0
8812,LAWYER,30777,3565834035786865,09/25,368,1
734,ENGINEER,23090,347265981009021,10/32,505,0
1767,LAWYER,60191,4307400654681208,12/30,5602,1
7936,ENGINEER,81526,30458312562030,07/26,590,1
9012,ENGINEER,98668,3579291229061213,04/33,503,0
4975,DOCTOR,59240,3540761835177856,04/31,422,0
4875,DOCTOR,34320,4719790193565187844,06/32,173,0
4401,ENGINEER,39854,4788808879911226,05/34,3006,0
3538,ENGINEER,65072,2266408644049389,01/25,735,0
3262,DOCTOR,56149,345141959553229,01/25,222,0
842,DOCTOR,48867,4713781155036234,07/25,564,0
2453,ENGINEER,26230,3555829563498083,10/31,869,0
1280,DOCTOR,48311,4989464450845131,11/30,3197,0
1687,LAWYER,86557,180030379309726,07/32,608,1
2241,DOCTOR,25378,6011548420763882,06/30,551,0
5656,DOCTOR,49482,4804674821648369,09/26,403,0
9607,LAWYER,8466,213169697000897,06/27,240,0
5405,DOCTOR,38274,30503653325123,09/28,810,1
6951,DOCTOR,15096,6507673082012823,08/28,750,0
1714,ENGINEER,1983,3585622036026548,07/28,936,1
4003,ENGINEER,85658,30426900149866,03/28,970,0
9034,ENGINEER,89679,6580874967451744,09/25,9020,0
7338,DOCTOR,32232,30568761204791,12/26,994,1
4895,ENGINEER,36201,2521151088357931,08/31,848,1
4213,DOCTOR,65308,676380714672,05/34,714,0
5304,DOCTOR,79188,4782821440731,06/27,827,0
9910,DOCTOR,85830,180059458815394,08/34,126,0
6394,DOCTOR,8385,4622539847549141,05/31,767,1
6539,LAWYER,77830,4986068194895857,07/25,691,0
5167,LAWYER,33596,2248183948587243,09/31,521,1
1728,DOCTOR,42761,3572186928721751,05/27,464,1
598,DOCTOR,10399,3587383922832337,09/30,8917,0
7010,ENGINEER,88558,213128173528250,07/33,917,0
7991,DOCTOR,34470,30369826239777,10/26,654,0
4761,ENGINEER,32177,30327483024700,10/29,125,0
8607,LAWYER,15208,345353369949927,08/32,947,1
7250,LAWYER,50874,3545177087148294,11/32,944,0
2330,DOCTOR,222,347694073069074,01/26,709,1
2687,ENGINEER,99626,349537860614594,07/33,729,0
3712,ENGINEER,60594,36616284585495,03/29,612,0
4574,DOCTOR,4004,342313050175482,06/26,7357,0
2439,LAWYER,1047,503863613959,08/31,687,1
7257,ENGINEER,8458,4333897698476420,07/32,19,0
1040,ENGINEER,6148,3534043162363880,09/31,53,1
3506,DOCTOR,84662,4960328449625,06/34,532,0
6546,DOCTOR,21245,4255308357835,03/34,441,0
2796,LAWYER,99815,4831186620264405379,11/24,403,1
9467,DOCTOR,23933,4992906669653792,08/33,655,0
380,LAWYER,7025,3526349867138273,05/29,312,1
9836,DOCTOR,4365,3569630859231533,10/26,494,0
2131,LAWYER,85849,639023857472,04/25,706,1
7481,ENGINEER,21911,3594793937039085,08/28,894,0
4285,DOCTOR,40122,36407850395943,04/26,130,0
3884,LAWYER,79906,5385784264210215,02/25,442,0
8803,LAWYER,51948,180099310711415,04/29,196,0
177,ENGINEER,75254,342742397480819,07/27,916,1
368,ENGINEER,1857,213151449215734,07/29,632,1
5710,LAWYER,35879,180033638469430,01/28,9809,0
5010,DOCTOR,98105,4075309321261,12/29,432,1
3891,DOCTOR,56438,371286198419430,05/33,510,0
2883,ENGINEER,41091,30228361365282,07/31,19,0
1140,DOCTOR,34177,4177494038641,12/28,5360,0
104,DOCTOR,84240,4254963803250251,02/31,101,0
8808,ENGINEER,32542,6547386937164507,11/27,329,0
3319,LAWYER,5308,4174573817677253,11/27,748,1
8462,ENGINEER,45727,213101959869750,12/33,350,0
8718,DOCTOR,2541,2267941881379811,05/33,459,0
8767,LAWYER,26808,4984573021865421,06/32,100,0
7393,ENGINEER,59936,3504819802341048,12/29,757,1
6132,ENGINEER,31565,4246141640640973,12/26,7584,1
460,DOCTOR,75910,4410660151344487201,02/28,908,0
8312,ENGINEER,69872,3515983056447120,09/32,103,0
6842,ENGINEER,93946,2221621680746742,11/31,721,0
4718,DOCTOR,17754,3513232437422838,03/26,472,0
9576,LAWYER,3545,6011085417180655,03/30,529,1
3160,DOCTOR,37495,4240516975750800,01/26,970,0
6595,DOCTOR,60744,5540480426455853,07/28,471,0
1426,LAWYER,8051,36312599825152,08/29,751,0
7037,DOCTOR,11471,36984348760334,06/34,346,0
5304,DOCTOR,79188,4782821440731,06/27,827,0
3525,DOCTOR,78773,4830544314471074,09/27,9734,0
9942,ENGINEER,31998,30051432917414,01/32,4076,0
8963,LAWYER,1368,502081884467,12/27,774,0
9101,DOCTOR,82395,4316712795054015,08/30,587,0
8864,DOCTOR,31799,180050067834207,05/28,40,0
7159,DOCTOR,49218,3516116105318666,08/31,704,0
7969,DOCTOR,63707,4632405674388615,12/28,184,0
2304,LAWYER,42347,4907180657117251,07/34,894,1
545,ENGINEER,71638,2299934567484585,08/25,9,0
6200,DOCTOR,24156,213148536019011,06/27,337,0
9913,ENGINEER,35087,502017595138,07/32,163,1
766,LAWYER,34127,2239916571858667,12/30,213,0
1978,ENGINEER,87622,30071517530627,12/30,180,0
2650,LAWYER,5457,6556328057353666,02/34,665,0
2507,LAWYER,3681,36534100814728,02/30,1814,0
6971,ENGINEER,53346,343595235171571,12/27,68,1
5903,LAWYER,12902,4153275431958,05/27,124,0
2384,LAWYER,84542,341601135112426,03/30,687,0
7448,DOCTOR,10576,3526881220445789,08/33,953,0
503,LAWYER,33551,4269867803337319475,08/25,984,0
74,ENGINEER,26953,374021058407416,11/33,5079,0
5991,ENGINEER,45692,4509898896736548,11/32,84,1
3262,DOCTOR,56149,345141959553229,01/25,222,0
7762,LAWYER,70025,3548583793607761,10/25,369,0
102,DOCTOR,55645,5124330088994224,04/26,268,0
818,LAWYER,23938,4020155696701424,12/27,378,0
5863,DOCTOR,12938,4452460283376,02/32,501,0
4683,LAWYER,15855,6566981639922529,02/30,250,0
8385,DOCTOR,60737,347965240169694,09/30,57,1
6951,DOCTOR,15096,6507673082012823,08/28,750,0
2379,ENGINEER,4724,6504311915710635,05/34,183,0
9027,LAWYER,37106,370158195717929,12/27,318,1
4205,LAWYER,36329,4674214644826020,04/34,997,1
4458,LAWYER,76276,3575268320581020,12/32,112,0
2878,LAWYER,92948,3566539314638617,02/26,506,0
4716,DOCTOR,69799,4067210293014780,04/28,732,0
5358,ENGINEER,57686,213171812081927,06/30,218,0
6621,ENGINEER,65138,639004452509,07/28,85,0
9160,ENGINEER,25813,180082280071739,08/28,636,1
296,ENGINEER,83604,6555068312474326,03/27,474,1
1517,ENGINEER,65346,6588356233088742,12/28,991,0
9639,LAWYER,41159,3598213197654750,11/28,464,0
6305,DOCTOR,85711,3596516225089605,04/25,261,0
5302,LAWYER,25638,4347618939774637,07/33,121,0
8894,LAWYER,88475,378192551658569,10/28,68,0
994,DOCTOR,24132,348709686192250,01/31,14,1
7869,DOCTOR,38312,4241749040305689802,11/30,991,0
7299,LAWYER,94346,370931675953671,02/30,311,0
6298,LAWYER,33154,36107106907984,06/29,715,0
7205,ENGINEER,91440,4921195122749977,09/30,5653,0
7975,LAWYER,33162,3535551269233169,12/24,271,1
1385,DOCTOR,11131,4814055654857032799,11/32,509,0
1750,LAWYER,29109,3515118136262682,03/32,40,0
1190,LAWYER,49956,5517447856547474,08/27,450,0
1207,LAWYER,62061,374621809476097,08/29,771,1
2937,LAWYER,7751,5508436506900986,08/31,127,0
3923,LAWYER,54865,213166058250533,03/26,726,1
8181,ENGINEER,26071,30488327430394,01/34,298,0
9335,LAWYER,13635,30177892614124,08/34,79,0
5922,ENGINEER,67765,6011450026699984,03/26,9790,0
6282,LAWYER,49352,3554034303988409,10/27,58,0
8786,LAWYER,8124,374983893372156,06/34,495,0
625,LAWYER,64501,6011056701127884,04/33,957,1
3615,DOCTOR,5453,30265020951045,11/31,3918,1
1070,ENGINEER,81772,3524329878630767,10/32,984,0
163,LAWYER,51020,5330762795677223,09/27,843,1
2970,DOCTOR,24400,4129720772673175,06/25,549,0
1716,DOCTOR,50734,4295708711713572,11/30,305,0
3081,LAWYER,34723,6011842475165600,05/34,123,0
2610,LAWYER,4235,60448326771,06/31,824,1
4282,ENGINEER,97250,4970528666624950,08/26,185,0
9417,ENGINEER,99270,4401121164957338654,02/26,687,1
1189,LAWYER,11012,6011228213233696,08/27,360,0
1040,ENGINEER,6148,3534043162363880,09/31,53,1
7550,LAWYER,94536,379507802613825,04/30,790,0
7933,LAWYER,7333,4556252904567663,07/29,997,0
3147,ENGINEER,79618,38323384921724,02/32,969,0
2984,DOCTOR,55667,6509464968763798,06/28,288,0
3237,ENGINEER,70112,4463397816933180,09/34,9901,1
2874,ENGINEER,54545,346275997778767,03/26,685,0
6498,DOCTOR,50155,6011587767043532,10/29,700,0
6247,DOCTOR,37873,676324504726,05/34,630,0
7375,LAWYER,75700,180060664014913,11/27,353,0
6484,DOCTOR,33788,180002466448881,02/28,791,0
78,ENGINEER,46728,6011222066157292,12/32,389,0
4684,DOCTOR,98583,502096711689,07/27,227,0
5932,LAWYER,36817,4152046173413718,10/32,282,0
9771,LAWYER,98851,4012523998864784495,02/28,252,0
1750,LAWYER,29109,3515118136262682,03/32,40,0
2366,LAWYER,68169,371587740455024,12/32,515,0
7254,ENGINEER,1688,4085810722033521,05/34,695,0
2311,ENGINEER,78596,589260181823,03/33,527,1
4,DOCTOR,22962,4707418777543978402,11/30,102,0
8891,LAWYER,3508,587671982839,09/31,2853,0
1163,ENGINEER,89924,4474370873875039,07/27,953,0
1518,ENGINEER,12206,4682303513094250963,04/29,534,0
3289,LAWYER,55219,676208262722,06/33,296,0
3308,LAWYER,6842,4130076138503510693,08/30,667,0
6772,DOCTOR,11377,4955689721164825499,07/32,124,0
4717,LAWYER,3217,4818463524106634330,02/33,813,0
1153,ENGINEER,52265,4121379911554412,03/29,746,0
5743,DOCTOR,78188,3550399078336843,01/30,7752,0
6641,DOCTOR,33056,2299751649256587,01/30,147,0
4251,ENGINEER,71600,30565345458133,06/32,608,0
4460,LAWYER,88071,4189599108761400,01/31,843,0
9981,ENGINEER,82371,4368290886121255,07/28,604,1
6629,LAWYER,79434,5275355733348127,10/32,392,1
6341,ENGINEER,56259,342612316761492,04/25,568,0
2571,LAWYER,8754,4706868140780958966,07/34,3730,0
1690,ENGINEER,43194,4834225100676011,12/30,213,1
2800,LAWYER,34610,4184608066521434360,06/30,423,0
1888,LAWYER,83004,2713540307861798,06/29,3,1
1427,DOCTOR,70546,4416067877229,06/32,724,0
7660,DOCTOR,39669,4046460024090205,05/26,100,0
837,LAWYER,49621,4496891680742,02/32,418,0
7385,LAWYER,97015,3502640233172071,04/30,561,0
8115,DOCTOR,49387,4546755002263218423,10/33,214,1
2391,ENGINEER,17872,180083583648306,12/27,761,1
7675,ENGINEER,84010,213147175672676,10/26,443,1
3526,ENGINEER,28126,2285127175793515,10/25,322,0
9330,DOCTOR,29380,4590747916750902232,10/33,951,0
4850,LAWYER,65795,3571858185224536,12/33,428,0
5541,ENGINEER,67945,373783726701279,12/27,995,0
329,DOCTOR,84475,3583776057086369,06/29,770,1
5342,DOCTOR,34301,589488690217,11/31,721,0
9453,LAWYER,77496,377955798914974,10/27,329,1
7499,ENGINEER,18184,3587648283727627,12/32,156,0
1839,LAWYER,18189,2272468072444074,10/32,976,0
2290,LAWYER,23644,343579853998655,05/28,143,0
4419,ENGINEER,92462,2236495733847192,04/31,414,0
5342,DOCTOR,34301,589488690217,11/31,721,0
8858,ENGINEER,5110,3528995877712347,08/34,653,0
3193,DOCTOR,19050,4453920163131484701,04/30,958,0
2114,DOCTOR,59618,6586382809853386,02/28,636,1
2483,ENGINEER,79382,4994619568090,04/28,543,1
